warehouse_id,warehouse_name,city,capacity,opening_date
WH_001,Delhi Fulfillment Center 01,Delhi,13470,2020-05-14
WH_002,Delhi Fulfillment Center 02,Delhi,6673,2018-07-06
WH_003,Delhi Fulfillment Center 03,Delhi,8881,2021-02-02
WH_004,Delhi Fulfillment Center 04,Delhi,10017,2018-02-20
WH_005,Delhi Fulfillment Center 05,Delhi,14536,2021-01-24
WH_006,Delhi Fulfillment Center 06,Delhi,11550,2022-10-19
WH_007,Delhi Fulfillment Center 07,Delhi,12320,2020-04-10
WH_008,Delhi Fulfillment Center 08,Delhi,8327,2016-10-17
WH_009,Delhi Fulfillment Center 09,Delhi,5579,2019-08-05
WH_010,Delhi Fulfillment Center 10,Delhi,12785,2021-05-02
WH_011,Noida Fulfillment Center 01,Noida,6300,2018-09-23
WH_012,Noida Fulfillment Center 02,Noida,9350,2021-08-04
WH_013,Noida Fulfillment Center 03,Noida,14647,2019-08-25
WH_014,Noida Fulfillment Center 04,Noida,13458,2018-11-18
WH_015,Noida Fulfillment Center 05,Noida,14348,2018-03-21
WH_016,Noida Fulfillment Center 06,Noida,7124,2017-12-10
WH_017,Noida Fulfillment Center 07,Noida,5900,2021-05-06
WH_018,Noida Fulfillment Center 08,Noida,8376,2017-01-14
WH_019,Noida Fulfillment Center 09,Noida,11945,2024-10-25
WH_020,Noida Fulfillment Center 10,Noida,8190,2024-06-15
WH_021,Mumbai Fulfillment Center 01,Mumbai,8493,2016-10-04
WH_022,Mumbai Fulfillment Center 02,Mumbai,12247,2016-03-20
WH_023,Mumbai Fulfillment Center 03,Mumbai,12958,2023-06-14
WH_024,Mumbai Fulfillment Center 04,Mumbai,14761,2022-08-02
WH_025,Mumbai Fulfillment Center 05,Mumbai,2364,2023-03-07
WH_026,Mumbai Fulfillment Center 06,Mumbai,7122,2022-11-15
WH_027,Mumbai Fulfillment Center 07,Mumbai,3531,2017-10-06
WH_028,Mumbai Fulfillment Center 08,Mumbai,8882,2018-09-23
WH_029,Mumbai Fulfillment Center 09,Mumbai,14772,2022-09-17
WH_030,Mumbai Fulfillment Center 10,Mumbai,8229,2024-01-13
WH_031,Pune Fulfillment Center 01,Pune,13475,2024-04-10
WH_032,Pune Fulfillment Center 02,Pune,10258,2024-02-15
WH_033,Pune Fulfillment Center 03,Pune,8371,2021-02-15
WH_034,Pune Fulfillment Center 04,Pune,9943,2023-01-12
WH_035,Pune Fulfillment Center 05,Pune,8738,2024-05-06
WH_036,Pune Fulfillment Center 06,Pune,4739,2017-11-24
WH_037,Pune Fulfillment Center 07,Pune,12554,2021-05-25
WH_038,Pune Fulfillment Center 08,Pune,11504,2020-06-21
WH_039,Pune Fulfillment Center 09,Pune,3733,2021-07-16
WH_040,Pune Fulfillment Center 10,Pune,12755,2023-07-09
WH_041,Kolkata Fulfillment Center 01,Kolkata,10434,2023-05-04
WH_042,Kolkata Fulfillment Center 02,Kolkata,11111,2021-02-20
WH_043,Kolkata Fulfillment Center 03,Kolkata,14362,2019-06-22
WH_044,Kolkata Fulfillment Center 04,Kolkata,13120,2023-06-19
WH_045,Kolkata Fulfillment Center 05,Kolkata,7560,2017-11-08
WH_046,Kolkata Fulfillment Center 06,Kolkata,8316,2020-06-26
WH_047,Kolkata Fulfillment Center 07,Kolkata,11333,2019-03-20
WH_048,Kolkata Fulfillment Center 08,Kolkata,2224,2019-01-12
WH_049,Kolkata Fulfillment Center 09,Kolkata,14846,2016-10-14
