inventory_id,product_id,warehouse_id,stock_in_hand,damaged_units,last_updated
INV_00001,PRD_4707,WH_038,17,,2024-02-27
INV_00002,PRD_1163,WH_003,124,13.0,2024-05-07
INV_00003,PRD_1035,WH_028,273,23.0,2025-05-05
INV_00004,PRD_3315,WH_071,198,20.0,2025-02-18
INV_00005,PRD_2798,WH_007,146,29.0,2025-08-09
INV_00006,PRD_1684,WH_071,41,27.0,2025-10-18
INV_00007,PRD_1091,WH_071,62,7.0,2025-04-26
INV_00008,PRD_4023,WH_038,435,28.0,2024-02-07
INV_00009,PRD_3398,WH_066,21,0.0,2025-04-23
INV_00010,PRD_1578,WH_003,72,24.0,2024-06-03
INV_00011,PRD_1975,WH_024,6,4.0,
INV_00012,PRD_0198,WH_018,166,3.0,2024-06-24
INV_00013,PRD_2159,WH_080,74,12.0,2024-04-24
INV_00014,PRD_4431,WH_080,188,30.0,2024-05-13
INV_00015,PRD_4529,WH_072,143,24.0,
INV_00016,PRD_0486,WH_004,0,0.0,2024-11-13
INV_00017,PRD_3096,WH_073,168,26.0,2025-04-10
INV_00018,PRD_2145,WH_065,0,,2025-03-17
INV_00019,PRD_2237,WH_065,9,0.0,2025-09-21
INV_00020,PRD_1035,WH_057,183,24.0,
INV_00021,PRD_4917,WH_022,103,15.0,2024-05-13
INV_00022,PRD_0770,WH_025,157,9.0,
INV_00023,PRD_3526,WH_075,202,5.0,
INV_00024,PRD_0555,WH_074,199,14.0,2025-05-27
INV_00025,PRD_0561,WH_047,75,27.0,2024-03-18
INV_00026,PRD_3870,WH_077,26,21.0,2025-02-04
INV_00027,PRD_1906,WH_039,90,1.0,2025-02-21
INV_00028,PRD_0657,WH_073,0,0.0,2025-05-12
INV_00029,PRD_2215,WH_045,202,,2024-11-22
INV_00030,PRD_0646,WH_045,169,15.0,2025-10-16
INV_00031,PRD_3808,WH_005,172,22.0,
INV_00032,PRD_3581,WH_042,221,4.0,2025-06-06
INV_00033,PRD_3766,WH_016,87,16.0,2025-01-05
INV_00034,PRD_3564,WH_057,226,16.0,2024-01-13
INV_00035,PRD_3660,WH_077,250,30.0,2025-07-22
INV_00036,PRD_0355,WH_009,243,5.0,2024-03-09
INV_00037,PRD_4918,WH_018,15,4.0,2025-12-10
INV_00038,PRD_4005,WH_032,10,6.0,2024-01-03
INV_00039,PRD_1521,WH_038,87,4.0,2024-03-04
