product_id,product_name,category_id,supplier_id,unit_price,reorder_level,shelf_life_days
PRD_0001,PrimePick Cheese Max 500g,CAT_001,SUP_130,90.03,82,10
PRD_0002,QuickNest Butter Classic 6pcs,CAT_001,SUP_185,129.79,94,12
PRD_0003,GoodStore Curd Premium 250g,CAT_001,SUP_164,92.54,101,8
PRD_0004,EliteOne Curd Plus 750g,CAT_001,SUP_130,204.1,62,9
PRD_0005,SmartLife Butter Plus 500g,CAT_001,SUP_042,73.4,44,13
PRD_0006,CarePlus Milk Daily 2kg,CAT_001,SUP_109,57.28,107,7
PRD_0007,SmartLife Cheese Value Pack 12pcs,CAT_001,SUP_030,95.67,82,12
PRD_0008,GlowCare Cream Classic 750g,CAT_001,SUP_191,67.92,104,7
PRD_0009,HealthySip Cheese Family Pack 750g,CAT_001,SUP_109,59.72,103,15
PRD_0010,HappyHome Paneer Value Pack 1L,CAT_001,SUP_155,53.99,105,14
PRD_0011,SwiftCart Yogurt Classic 6pcs,CAT_001,SUP_014,122.93,20,13
PRD_0012,MunchTime Cream Daily 100g,CAT_001,SUP_071,108.22,75,9
PRD_0013,PrimePick Yogurt Value Pack 200g,CAT_001,SUP_024,93.13,49,7
PRD_0014,KitchenPro Yogurt Family Pack 250g,CAT_001,SUP_155,32.13,49,14
PRD_0015,GoodStore Cream Fresh 1kg,CAT_001,SUP_196,139.55,20,9
PRD_0016,ValueMart Curd Max 750g,CAT_001,SUP_065,113.39,85,12
PRD_0017,PureLeaf Yogurt Premium 24pcs,CAT_001,SUP_185,110.95,113,12
PRD_0018,PrimePick Milk Family Pack 24pcs,CAT_001,SUP_001,174.24,23,7
PRD_0019,GoodStore Cream Premium 1kg,CAT_001,SUP_001,90.2,74,13
PRD_0020,QuickNest Milk Premium 500ml,CAT_001,SUP_185,171.88,29,9
PRD_0021,QuickNest Curd Plus 1L,CAT_001,SUP_071,150.58,116,13
PRD_0022,CarePlus Milk Classic 200ml,CAT_001,SUP_024,215.89,51,8
PRD_0023,CarePlus Cheese Premium 6pcs,CAT_001,SUP_185,194.06,27,7
PRD_0024,SmartLife Yogurt Plus 6pcs,CAT_001,SUP_073,132.59,86,14
PRD_0025,DailyDrop Paneer Value Pack 100g,CAT_001,SUP_114,63.24,91,12
PRD_0026,SwiftCart Milk Fresh 500g,CAT_001,SUP_155,91.16,120,9
PRD_0027,MunchTime Butter Fresh 1kg,CAT_001,SUP_086,198.05,111,14
PRD_0028,PrimePick Cheese Premium 2kg,CAT_001,SUP_114,44.39,115,14
PRD_0029,KitchenPro Cheese Classic 750g,CAT_001,SUP_071,165.84,65,10
PRD_0030,MunchTime Paneer Family Pack 200ml,CAT_001,SUP_071,209.16,73,11
PRD_0031,NutriMax Milk Regular 500ml,CAT_001,SUP_191,104.25,74,8
PRD_0032,QuickNest Butter Premium 500g,CAT_001,SUP_185,27.54,26,7
PRD_0033,HappyHome Milk Daily 6pcs,CAT_001,SUP_030,65.54,38,9
PRD_0034,PureLeaf Milk Lite 500g,CAT_001,SUP_176,138.69,79,8
PRD_0035,GoodStore Milk Daily 500g,CAT_001,SUP_176,199.07,66,11
PRD_0036,CarePlus Cream Lite 1kg,CAT_001,SUP_068,91.65,21,9
PRD_0037,PrimePick Curd Fresh 250g,CAT_001,SUP_130,140.11,31,10
PRD_0038,ValueMart Cream Classic 200g,CAT_001,SUP_155,146.71,57,15
