sale_id,product_id,warehouse_id,sale_date,quantity_sold,sales_amount
SAL_00001,PRD_0579,WH_018,2024-01-24,19,4700.98
SAL_00002,PRD_0224,WH_034,2024-08-02,20,871.6
SAL_00003,PRD_0001,WH_011,2025-06-20,18,1620.54
SAL_00004,PRD_2390,WH_020,2025-08-18,1,203.52
SAL_00005,PRD_3367,WH_015,2025-09-20,17,3330.13
SAL_00006,PRD_3603,WH_026,2023-02-22,8,2075.6
SAL_00007,PRD_1924,WH_066,2025-11-29,13,5768.62
SAL_00008,PRD_0194,WH_036,2023-07-04,4,364.76
SAL_00009,PRD_0118,WH_030,2025-11-11,8,913.6
SAL_00010,PRD_4193,WH_042,2023-04-25,13,484.51
SAL_00011,PRD_0301,WH_061,2025-02-22,4,561.32
SAL_00012,PRD_3407,WH_021,2022-08-31,8,2395.44
SAL_00013,PRD_0229,WH_063,2022-03-01,17,1890.23
SAL_00014,PRD_0571,WH_018,2022-09-11,20,
SAL_00015,PRD_0509,WH_068,2022-01-08,3,686.01
SAL_00016,PRD_0881,WH_066,2025-08-20,12,9217.56
SAL_00017,PRD_1495,WH_044,2022-06-04,3,4094.28
SAL_00018,PRD_0395,WH_025,2022-01-04,9,495.54
SAL_00019,PRD_4830,WH_029,2025-05-13,15,13264.95
SAL_00020,PRD_0007,WH_064,2025-11-08,15,1435.05
SAL_00021,PRD_3321,WH_006,2022-07-05,6,873.54
SAL_00022,PRD_2152,WH_061,2025-03-22,18,
SAL_00023,PRD_0279,WH_009,2023-12-06,1,22.12
SAL_00024,PRD_0381,WH_064,2023-06-17,17,2894.76
SAL_00025,PRD_2432,WH_073,2025-03-06,13,1454.83
SAL_00026,PRD_1035,WH_037,2023-08-08,8,2202.56
SAL_00027,PRD_1811,WH_058,2024-01-15,2,671.44
SAL_00028,PRD_2251,WH_014,2022-06-20,3,604.95
SAL_00029,PRD_2358,WH_060,2022-10-29,4,194.08
SAL_00030,PRD_2399,WH_054,2023-12-25,18,1894.86
SAL_00031,PRD_0231,WH_008,2025-03-26,15,2180.1
SAL_00032,PRD_3117,WH_036,2023-08-01,3,2801.16
SAL_00033,PRD_0942,WH_059,2024-04-15,1,872.63
SAL_00034,PRD_0364,WH_006,2024-04-07,6,297.3
SAL_00035,PRD_0328,WH_050,2025-01-20,15,2634.15
SAL_00036,PRD_0736,WH_063,2024-05-01,20,3294.4
SAL_00037,PRD_2604,WH_025,2023-05-30,15,563.55
SAL_00038,PRD_1931,WH_027,2024-04-07,7,3063.41
SAL_00039,PRD_0343,WH_020,2025-11-18,4,259.32
SAL_00040,PRD_0107,WH_013,2025-06-04,6,421.08
SAL_00041,PRD_0082,WH_077,2025-09-03,6,1021.74
SAL_00042,PRD_1620,WH_054,2025-08-26,18,6689.34
SAL_00043,PRD_3431,WH_004,2025-03-06,6,854.16
SAL_00044,PRD_2359,WH_075,2022-05-15,18,1366.38
SAL_00045,PRD_3543,WH_008,2024-09-06,16,4214.88
SAL_00046,PRD_1057,WH_074,2024-06-16,1,379.56
SAL_00047,PRD_0441,WH_032,2023-04-29,13,273.39
SAL_00048,PRD_3514,WH_035,2022-09-23,19,1840.91
SAL_00049,PRD_3042,WH_039,2022-05-29,2,2342.56
SAL_00050,PRD_2428,WH_007,2025-10-30,17,1100.41
SAL_00051,PRD_4047,WH_050,2025-01-31,17,4905.01
SAL_00052,PRD_2612,WH_049,2022-06-22,1,62.05
SAL_00053,PRD_2149,WH_043,2025-12-18,5,629.0
SAL_00054,PRD_2054,WH_072,2025-02-05,3,73.56
SAL_00055,PRD_2553,WH_034,2023-10-02,9,844.83
SAL_00056,PRD_2112,WH_054,2024-05-30,18,1836.18
SAL_00057,PRD_0865,WH_024,2022-11-02,15,11608.2
SAL_00058,PRD_4638,WH_074,2025-04-24,20,
SAL_00059,PRD_4713,WH_075,2024-02-16,13,228.15
SAL_00060,PRD_0521,WH_034,2022-08-29,10,546.8
SAL_00061,PRD_2168,WH_057,2024-05-23,12,2456.76
SAL_00062,PRD_3441,WH_016,2025-10-10,17,
SAL_00063,PRD_0181,WH_048,2024-01-01,4,582.16
SAL_00064,PRD_0391,WH_006,2022-08-30,16,966.56
SAL_00065,PRD_2232,WH_069,2025-08-15,16,4796.96
SAL_00066,PRD_0094,WH_055,2022-01-24,17,1757.46
SAL_00067,PRD_3647,WH_077,2022-12-03,1,25.82
SAL_00068,PRD_3965,WH_060,2024-12-07,19,9094.92
SAL_00069,PRD_3092,WH_013,2023-11-14,3,1621.41
SAL_00070,PRD_3600,WH_033,2025-12-31,6,1135.02
SAL_00071,PRD_2781,WH_040,2022-02-16,19,
SAL_00072,PRD_0446,WH_066,2022-12-08,5,641.1
SAL_00073,PRD_0099,WH_040,2022-05-31,20,1655.6
SAL_00074,PRD_3717,WH_034,2025-06-30,11,1440.78
SAL_00075,PRD_2919,WH_055,2024-08-31,18,14632.92
SAL_00076,PRD_1457,WH_048,2025-01-10,6,
SAL_00077,PRD_3486,WH_058,2022-04-25,18,6874.02
SAL_00078,PRD_0176,WH_034,2025-08-01,19,1555.53
SAL_00079,PRD_1055,WH_056,2024-12-21,17,3860.53
SAL_00080,PRD_1174,WH_078,2025-08-13,6,1888.08
SAL_00081,PRD_0336,WH_013,2022-04-22,6,464.94
SAL_00082,PRD_3124,WH_004,2023-05-18,20,20993.2
SAL_00083,PRD_3358,WH_042,2025-12-23,18,2749.5
SAL_00084,PRD_2401,WH_011,2022-06-06,14,2080.68
SAL_00085,PRD_1594,WH_011,2024-01-12,6,1790.52
SAL_00086,PRD_2508,WH_051,2022-07-06,5,
SAL_00087,PRD_4099,WH_030,2022-12-04,4,634.6
SAL_00088,PRD_1256,WH_003,2023-03-15,9,
SAL_00089,PRD_1134,WH_041,2025-07-04,12,5875.68
SAL_00090,PRD_2577,WH_017,2022-11-14,3,59.73
SAL_00091,PRD_2827,WH_030,2024-10-08,13,735.28
SAL_00092,PRD_1852,WH_003,2022-04-19,11,6627.17
SAL_00093,PRD_3830,WH_005,2025-04-10,2,324.24
SAL_00094,PRD_1229,WH_013,2023-05-27,8,3612.24
SAL_00095,PRD_2658,WH_055,2024-06-07,10,916.2
SAL_00096,PRD_2765,WH_062,2023-05-20,12,3263.88
SAL_00097,PRD_0947,WH_024,2023-02-14,17,10919.1
SAL_00098,PRD_0063,WH_009,2025-02-10,8,452.72
SAL_00099,PRD_3619,WH_075,2023-04-25,9,4436.37
SAL_00100,PRD_1974,WH_061,2025-06-20,19,4357.65
SAL_00101,PRD_0308,WH_011,2023-05-03,11,910.69
SAL_00102,PRD_4704,WH_016,2024-05-13,17,1742.33
SAL_00103,PRD_0953,WH_003,2022-06-11,19,4092.22
SAL_00104,PRD_1942,WH_073,2024-02-11,12,292.92
SAL_00105,PRD_1980,WH_075,2025-03-02,2,258.08
SAL_00106,PRD_1320,WH_006,2024-03-26,13,5851.95
SAL_00107,PRD_0474,WH_010,2025-10-13,4,702.88
SAL_00108,PRD_2906,WH_014,2024-01-22,9,2165.76
SAL_00109,PRD_0608,WH_012,2023-05-01,19,483.17
SAL_00110,PRD_2821,WH_076,2024-09-09,5,1240.4
SAL_00111,PRD_3510,WH_019,2025-02-19,4,972.88
SAL_00112,PRD_0077,WH_026,2022-07-19,19,3972.71
SAL_00113,PRD_3065,WH_005,2025-08-20,9,4916.61
SAL_00114,PRD_2645,WH_047,2025-08-07,4,683.32
SAL_00115,PRD_0609,WH_019,2024-04-12,20,4138.4
SAL_00116,PRD_2566,WH_017,2022-10-12,9,507.33
SAL_00117,PRD_1617,WH_079,2023-02-24,19,7287.83
SAL_00118,PRD_0276,WH_003,2024-10-08,18,2465.46
SAL_00119,PRD_2140,WH_013,2024-02-15,9,2236.68
SAL_00120,PRD_4831,WH_037,2024-03-18,9,5986.8
SAL_00121,PRD_2692,WH_041,2022-06-29,9,2055.51
SAL_00122,PRD_1115,WH_055,2023-12-07,12,1989.0
SAL_00123,PRD_2314,WH_015,2024-11-14,2,304.16
SAL_00124,PRD_3101,WH_028,2023-08-09,8,4330.64
SAL_00125,PRD_0488,WH_021,2023-06-23,12,887.76
SAL_00126,PRD_2161,WH_066,2022-04-26,11,2636.26
SAL_00127,PRD_2072,WH_025,2025-01-04,20,1058.0
SAL_00128,PRD_1349,WH_019,2024-01-21,16,8506.4
