po_id,product_id,supplier_id,warehouse_id,order_date,expected_date,received_date,order_qty,received_qty
PO_00001,PRD_4743,SUP_085,WH_073,2022-08-24,2022-08-26,2022-08-26,125,125.0
PO_00002,PRD_2128,SUP_122,WH_017,2023-02-12,2023-02-16,2023-02-23,445,445.0
PO_00003,PRD_3471,SUP_051,WH_046,2024-12-20,2024-12-27,2024-12-27,354,354.0
PO_00004,PRD_3849,SUP_045,WH_007,2024-03-07,2024-03-21,2024-03-21,260,260.0
PO_00005,PRD_1475,SUP_200,WH_037,2025-06-15,2025-06-19,2025-06-19,92,71.0
PO_00006,PRD_2805,SUP_033,WH_047,2022-02-07,2022-02-21,2022-02-21,242,242.0
PO_00007,PRD_0726,SUP_012,WH_047,2023-05-04,2023-05-17,2023-05-17,192,192.0
PO_00008,PRD_2139,SUP_149,WH_030,2024-10-13,2024-10-20,2024-10-20,489,489.0
PO_00009,PRD_3104,SUP_148,WH_045,2025-12-23,2025-12-26,2025-12-26,165,165.0
PO_00010,PRD_1827,SUP_084,WH_037,2024-02-22,2024-02-23,2024-02-28,148,148.0
PO_00011,PRD_0458,SUP_175,WH_060,2025-01-07,2025-01-11,2025-01-11,102,102.0
PO_00012,PRD_0165,SUP_126,WH_054,2022-05-17,2022-05-20,2022-05-20,93,93.0
PO_00013,PRD_1961,SUP_006,WH_076,2025-08-14,2025-08-28,2025-08-28,473,473.0
PO_00014,PRD_1956,SUP_043,WH_042,2022-12-12,2022-12-21,2022-12-21,209,209.0
PO_00015,PRD_2208,SUP_063,WH_042,2025-10-12,2025-10-23,2025-10-23,337,337.0
PO_00016,PRD_1715,SUP_033,WH_016,2022-12-26,2023-01-09,2023-01-13,185,127.0
PO_00017,PRD_0826,SUP_160,WH_010,2023-03-11,2023-03-16,2023-03-21,308,308.0
PO_00018,PRD_1247,SUP_017,WH_013,2025-12-14,2025-12-17,2025-12-17,384,384.0
PO_00019,PRD_2617,SUP_071,WH_033,2023-12-14,2023-12-24,2023-12-24,441,441.0
PO_00020,PRD_4536,SUP_004,WH_065,2023-05-23,2023-06-05,,180,
PO_00021,PRD_4782,SUP_163,WH_028,2023-04-11,2023-04-18,2023-04-18,137,137.0
PO_00022,PRD_3734,SUP_193,WH_007,2023-04-06,2023-04-08,2023-04-08,270,270.0
PO_00023,PRD_0232,SUP_086,WH_057,2022-04-05,2022-04-07,2022-04-14,98,98.0
PO_00024,PRD_0164,SUP_028,WH_052,2025-01-23,2025-02-04,2025-02-04,253,253.0
